file_name,num_rows,num_columns,num_patients
OASIS_U00-U85.csv,3,300,2
OASIS_A00-B99.csv,1644414,300,352672
OASIS_P00-P96.csv,2927,300,551
OASIS_C00-D49.csv,1008147,300,276222
OASIS_E00-E89.csv,3949248,300,881628
OASIS_S00-T88.csv,141142,300,107581
OASIS_G00-G99.csv,2154843,300,507180
OASIS_K00-K95.csv,1749157,300,401060
OASIS_Q00-Q99.csv,45428,300,10319
OASIS_R00-R99.csv,186770,300,139090
OASIS_H60-H95.csv,58820,300,15161
OASIS_L00-L99.csv,2180040,300,455716
OASIS_Z00-Z99.csv,152865,300,122114
OASIS_N00-N99.csv,3472547,300,763582
OASIS_O00-O9A.csv,6405,300,2250
OASIS_H00-H59.csv,78069,300,18630
OASIS_J00-J99.csv,3570627,300,825380
OASIS_M00-M99.csv,5161759,300,1452449
OASIS_I00-I99.csv,7224612,300,1781268
OASIS_F01-F99.csv,1230396,300,275215
OASIS_D50-D89.csv,1111499,300,241853
